Hãng_Mẫu,Năm_SX,Giá_Triệu,Địa_Điểm,Chuỗi_Gốc,Số_KM
BMW 3 Series,2024.0,1439,Hà Nội,Ban xe oto cu BMW 3 Series 2024 320i Sport Line gia 1 Tỷ 439 Triệu - Hà Nội,10000.0
Mercedes Benz GLC,2020.0,1269,Hà Nội,Ban xe oto cu Mercedes Benz GLC 2020 200 4Matic gia 1 Tỷ 269 Triệu - Hà Nội,59000.0
BMW X3,2024.0,1558,Hà Nội,Ban xe oto cu BMW X3 2024 sDrive20i gia 1 Tỷ 558 Triệu - Hà Nội,19000.0
Mercedes Benz GLC,2025.0,1999,Hà Nội,Ban xe oto cu Mercedes Benz GLC 2025 200 4Matic gia 1 Tỷ 999 Triệu - Hà Nội,5000.0
Ford Escape,2011.0,225,Hà Nội,Ban xe oto cu Ford Escape 2011 XLS 2.3L 4x2 AT gia 225 Triệu - Hà Nội,167899.0
Volkswagen Viloran,2024.0,2039,Hà Nội,Ban xe oto cu Volkswagen Viloran 2024 Luxury gia 2 Tỷ 39 Triệu - Hà Nội,29000.0
Volkswagen Viloran,2024.0,2050,Hà Nội,Ban xe oto cu Volkswagen Viloran 2024 Luxury gia 2 Tỷ 50 Triệu - Hà Nội,11000.0
Mercedes Benz GLC,2025.0,2079,Hà Nội,Ban xe oto cu Mercedes Benz GLC 2025 200 4Matic gia 2 Tỷ 79 Triệu - Hà Nội,5800.0
Mercedes Benz C class,2023.0,1369,Hà Nội,Ban xe oto cu Mercedes Benz C class 2023 C200 Avantgarde gia 1 Tỷ 369 Triệu - Hà Nội,8000.0
Mercedes Benz A class,2020.0,1139,Hà Nội,Ban xe oto cu Mercedes Benz A class 2020 A35 AMG 4Matic gia 1 Tỷ 139 Triệu - Hà Nội,23000.0
BMW Z4,2021.0,2299,Hà Nội,Ban xe oto cu BMW Z4 2021 sDrive30i M Sport gia 2 Tỷ 299 Triệu - Hà Nội,10000.0
Mercedes Benz E class,2020.0,1439,Hà Nội,Ban xe oto cu Mercedes Benz E class 2020 E300 AMG gia 1 Tỷ 439 Triệu - Hà Nội,63000.0
Lexus LX,2024.0,8480,Hà Nội,Ban xe oto cu Lexus LX 2024 600 Urban gia 8 Tỷ 480 Triệu - Hà Nội,13000.0
Mini Cooper,2023.0,1550,Hà Nội,Ban xe oto cu Mini Cooper 2023 Countryman gia 1 Tỷ 550 Triệu - Hà Nội,11000.0
Mercedes Benz GLC,2023.0,1866,Hà Nội,Ban xe oto cu Mercedes Benz GLC 2023 200 4Matic gia 1 Tỷ 866 Triệu - Hà Nội,17000.0
BMW 5 Series,2014.0,499,Hà Nội,Ban xe oto cu BMW 5 Series 2014 520i gia 499 Triệu - Hà Nội,70000.0
Porsche Taycan,2021.0,5700,Hà Nội,Ban xe oto cu Porsche Taycan 2021 Turbo gia 5 Tỷ 700 Triệu - Hà Nội,22000.0
BMW 3 Series,2022.0,1299,Hà Nội,Ban xe oto cu BMW 3 Series 2022 330i M Sport gia 1 Tỷ 299 Triệu - Hà Nội,62000.0
Bentley Flying Spur,2022.0,14200,Hà Nội,Ban xe oto cu Bentley Flying Spur 2022 V8 gia 14 Tỷ 200 Triệu - Hà Nội,15000.0
