Hãng_Mẫu,Năm_SX,Giá_Triệu,Địa_Điểm,Chuỗi_Gốc,Số_KM
Hyundai SantaFe,2026.0,1079,Hà Nội,Ban xe oto Hyundai SantaFe 2026 Prestige 2.5L HTRAC gia 1 Tỷ 79 Triệu - Hà Nội,
BMW X1,2010.0,270,Hà Nội,Ban xe oto cu BMW X1 2010 xDrive28i gia 270 Triệu - Hà Nội,140000.0
Toyota Corolla Cross,2022.0,710,Thái Bình,Ban xe oto cu Toyota Corolla Cross 2022 1.8V gia 710 Triệu - Thái Bình,25000.0
Kia Cerato,2018.0,375,Hà Nội,Ban xe oto cu Kia Cerato 2018 2.0 AT gia 375 Triệu - Hà Nội,90000.0
Mercedes Benz GLS,2022.0,7189,Hà Nội,Ban xe oto cu Mercedes Benz GLS 2022 480 4Matic Maybach gia 7 Tỷ 189 Triệu - Hà Nội,3000.0
Mercedes Benz C class,2019.0,980,Khánh Hòa,Ban xe oto cu Mercedes Benz C class 2019 C300 AMG gia 980 Triệu - Khánh Hòa,
Chevrolet Spark,2018.0,130,Hà Nội,Ban xe oto cu Chevrolet Spark 2018 Duo Van 1.2 MT gia 130 Triệu - Hà Nội,90000.0
Isuzu MU-X,2016.0,438,Hà Nội,Ban xe oto cu Isuzu MU-X 2016 3.0 4X2 AT gia 438 Triệu - Hà Nội,130000.0
Toyota Vios,2012.0,252,Hà Nội,Ban xe oto cu Toyota Vios 2012 1.5G gia 252 Triệu - Hà Nội,120000.0
Honda CRV,2020.0,799,Hà Nội,Ban xe oto cu Honda CRV 2020 L gia 799 Triệu - Hà Nội,90000.0
Hyundai Accent,2022.0,428,Bình Dương,Ban xe oto cu Hyundai Accent 2022 1.4 AT gia 428 Triệu - Bình Dương,46000.0
Toyota Land Cruiser,2026.0,4580,Hà Nội,Ban xe oto Toyota Land Cruiser 2026 3.5 V6 gia 4 Tỷ 580 Triệu - Hà Nội,
Mercedes Benz V class,2024.0,3275,Hà Nội,Ban xe oto Mercedes Benz V class 2024 V250 AMG gia 3 Tỷ 275 Triệu - Hà Nội,
Mazda CX3,2024.0,585,Hà Nội,Ban xe oto cu Mazda CX3 2024 Luxury 1.5 AT gia 585 Triệu - Hà Nội,24000.0
Toyota Prado,2018.0,1850,Hà Nội,Ban xe oto cu Toyota Prado 2018 VX 2.7L gia 1 Tỷ 850 Triệu - Hà Nội,140000.0
Mercedes Benz S class,2025.0,4229,Hà Nội,Ban xe oto Mercedes Benz S class 2025 S450 4Matic Luxury gia 4 Tỷ 229 Triệu - Hà Nội,
Mercedes Benz S class,2025.0,3770,Hà Nội,Ban xe oto Mercedes Benz S class 2025 S450 4Matic gia 3 Tỷ 770 Triệu - Hà Nội,
Porsche 718,2025.0,5250,Hà Nội,Ban xe oto cu Porsche 718 2025 Boxster 2.0 AT gia 5 Tỷ 250 Triệu - Hà Nội,926.0
Porsche Panamera,2019.0,3489,Hà Nội,Ban xe oto cu Porsche Panamera 2019 3.0 V6 gia 3 Tỷ 489 Triệu - Hà Nội,60000.0
Mercedes Benz S class,2017.0,1299,TP HCM,Ban xe oto cu Mercedes Benz S class 2017 S400L gia 1 Tỷ 299 Triệu - TP HCM,90000.0
Lexus LX,2019.0,7550,Hà Nội,Ban xe oto cu Lexus LX 2019 570 Super Sport MBS gia 7 Tỷ 550 Triệu - Hà Nội,70000.0
VinFast Limo Green,2026.0,644,Hà Nội,Ban xe oto VinFast Limo Green 2026 AT gia 644 Triệu - Hà Nội,
VinFast VF9,2025.0,1260,Hà Nội,Ban xe oto cu VinFast VF9 2025 Plus 7S gia 1 Tỷ 260 Triệu - Hà Nội,28000.0
BMW X6,2016.0,1179,Hà Nội,Ban xe oto cu BMW X6 2016 xDrive35i gia 1 Tỷ 179 Triệu - Hà Nội,130000.0
Mercedes Benz GLS,2022.0,3999,Hà Nội,Ban xe oto cu Mercedes Benz GLS 2022 450 4Matic gia 3 Tỷ 999 Triệu - Hà Nội,51000.0
Toyota Veloz,2026.0,535,Hải Phòng,Ban xe oto Toyota Veloz 2026 Cross 1.5 CVT gia 535 Triệu - Hải Phòng,
VinFast VF8,2023.0,789,Bình Dương,Ban xe oto cu VinFast VF8 2023 Eco AWD gia 789 Triệu - Bình Dương,37000.0
Porsche 718,2020.0,3700,Hà Nội,Ban xe oto cu Porsche 718 2020 Boxster 2.0 AT gia 3 Tỷ 700 Triệu - Hà Nội,29000.0
Mazda CX5,2024.0,820,Hà Nội,Ban xe oto cu Mazda CX5 2024 Premium 2.0 AT gia 820 Triệu - Hà Nội,
Toyota Hilux,2025.0,999,TP HCM,Ban xe oto Toyota Hilux 2025 Adventure 2.8L 4x4 AT gia 999 Triệu - TP HCM,
Toyota Vios,2026.0,505,Hải Dương,Ban xe oto Toyota Vios 2026 G 1.5 CVT gia 505 Triệu - Hải Dương,
Mini Cooper,2023.0,1550,Hà Nội,Ban xe oto cu Mini Cooper 2023 Countryman gia 1 Tỷ 550 Triệu - Hà Nội,11000.0
Mercedes Benz GLC,2026.0,2319,TP HCM,Ban xe oto Mercedes Benz GLC 2026 200 4Matic gia 2 Tỷ 319 Triệu - TP HCM,
Mercedes Benz C class,2017.0,675,Hà Nội,Ban xe oto cu Mercedes Benz C class 2017 C300 AMG gia 675 Triệu - Hà Nội,110000.0
Ford Everest,2026.0,1120,Hà Nội,Ban xe oto Ford Everest 2026 Sport 2.0L 4x2 AT gia 1 Tỷ 120 Triệu - Hà Nội,
Hyundai i10,2019.0,307,Hà Nội,Ban xe oto cu Hyundai i10 2019 Grand 1.2 AT gia 307 Triệu - Hà Nội,75000.0
Volkswagen Tiguan,2018.0,699,Hà Nội,Ban xe oto cu Volkswagen Tiguan 2018 Allspace gia 699 Triệu - Hà Nội,100000.0
VinFast VF5,2026.0,430,Hà Nội,Ban xe oto VinFast VF5 2026 Plus gia 430 Triệu - Hà Nội,
Mazda 3,2020.0,569,Hà Nội,Ban xe oto cu Mazda 3 2020 1.5L Premium gia 569 Triệu - Hà Nội,25000.0
Kia Rio,2016.0,298,Hà Nội,Ban xe oto cu Kia Rio 2016 1.4 AT gia 298 Triệu - Hà Nội,86000.0
Honda City,2019.0,369,Hà Nội,Ban xe oto cu Honda City 2019 1.5 gia 369 Triệu - Hà Nội,86000.0
Mazda 3,2016.0,348,Hà Nội,Ban xe oto cu Mazda 3 2016 1.5 AT gia 348 Triệu - Hà Nội,98000.0
Hyundai SantaFe,2026.0,1214,Hà Nội,Ban xe oto Hyundai SantaFe 2026 Prestige 2.5L HTRAC gia 1 Tỷ 214 Triệu - Hà Nội,
Ford Ranger,2017.0,510,Hà Nội,Ban xe oto cu Ford Ranger 2017 Wildtrak 2.2L 4x2 AT gia 510 Triệu - Hà Nội,110000.0
Honda HRV,2021.0,589,Hà Nội,Ban xe oto cu Honda HRV 2021 L gia 589 Triệu - Hà Nội,62000.0
Hyundai Accent,2022.0,419,Hà Nội,Ban xe oto cu Hyundai Accent 2022 1.4 AT Đặc Biệt gia 419 Triệu - Hà Nội,71000.0
Kia Carnival,2022.0,1120,Hà Nội,Ban xe oto cu Kia Carnival 2022 Signature 2.2D gia 1 Tỷ 120 Triệu - Hà Nội,70000.0
Suzuki XL7,2023.0,456,Hà Nội,Ban xe oto cu Suzuki XL7 2023 1.5 AT gia 456 Triệu - Hà Nội,45000.0
Kia Soluto,2020.0,315,Hà Nội,Ban xe oto cu Kia Soluto 2020 1.4 AT Deluxe gia 315 Triệu - Hà Nội,46000.0
Mazda CX5,2015.0,435,TP HCM,Ban xe oto cu Mazda CX5 2015 2.0 AT gia 435 Triệu - TP HCM,50000.0
Geely EX5,2025.0,859,Long An,Ban xe oto Geely EX5 2025 Max gia 859 Triệu - Long An,
Mazda 2,2020.0,375,Hà Nội,Ban xe oto cu Mazda 2 2020 Luxury gia 375 Triệu - Hà Nội,55000.0
Isuzu Dmax,2016.0,330,TP HCM,Ban xe oto cu Isuzu Dmax 2016 LS 2.5 4x2 MT gia 330 Triệu - TP HCM,
Honda City,2026.0,504,Hà Nội,Ban xe oto Honda City 2026 L 1.5 AT gia 504 Triệu - Hà Nội,
Lexus NX,2016.0,1199,Hà Nội,Ban xe oto cu Lexus NX 2016 200t gia 1 Tỷ 199 Triệu - Hà Nội,95000.0
Lexus GX,2021.0,4190,Hà Nội,Ban xe oto cu Lexus GX 2021 460 gia 4 Tỷ 190 Triệu - Hà Nội,100000.0
Mazda 2,2023.0,379,Hà Nội,Ban xe oto cu Mazda 2 2023 1.5 AT gia 379 Triệu - Hà Nội,39000.0
Hyundai Accent,2023.0,429,Hà Nội,Ban xe oto cu Hyundai Accent 2023 1.4 AT Đặc Biệt gia 429 Triệu - Hà Nội,39000.0
Honda City,2021.0,429,Hà Nội,Ban xe oto cu Honda City 2021 RS 1.5 AT gia 429 Triệu - Hà Nội,89000.0
Hyundai Accent,2018.0,348,Hà Nội,Ban xe oto cu Hyundai Accent 2018 1.4 ATH gia 348 Triệu - Hà Nội,89000.0
Mercedes Benz E class,2022.0,1779,TP HCM,Ban xe oto cu Mercedes Benz E class 2022 E200 Exclusive gia 1 Tỷ 779 Triệu - TP HCM,17000.0
Honda CRV,2020.0,739,Hà Nội,Ban xe oto cu Honda CRV 2020 L gia 739 Triệu - Hà Nội,61000.0
Porsche Macan,2019.0,1990,Hà Nội,Ban xe oto cu Porsche Macan 2019 2.0 gia 1 Tỷ 990 Triệu - Hà Nội,84000.0
Hyundai SantaFe,2020.0,860,Hà Nội,Ban xe oto cu Hyundai SantaFe 2020 Premium 2.2L HTRAC gia 860 Triệu - Hà Nội,79000.0
Mazda CX5,2026.0,786,Hà Nội,Ban xe oto Mazda CX5 2026 Premium 2.0 AT gia 786 Triệu - Hà Nội,
Volkswagen Viloran,2025.0,2088,TP HCM,Ban xe oto Volkswagen Viloran 2025 Premium gia 2 Tỷ 88 Triệu - TP HCM,
Hyundai Tucson,2021.0,589,Hà Nội,Ban xe oto cu Hyundai Tucson 2021 2.0 AT Tiêu chuẩn gia 589 Triệu - Hà Nội,66000.0
Volvo XC60,2023.0,1619,Hà Nội,Ban xe oto cu Volvo XC60 2023 Ultimate Bright B6 AWD gia 1 Tỷ 619 Triệu - Hà Nội,
Hyundai Accent,2026.0,542,Long An,Ban xe oto Hyundai Accent 2026 Cao cấp 1.5 AT gia 542 Triệu - Long An,
Mazda CX5,2023.0,728,TP HCM,Ban xe oto cu Mazda CX5 2023 Luxury 2.0 AT gia 728 Triệu - TP HCM,9000.0
Honda City,2019.0,369,Hà Nội,Ban xe oto cu Honda City 2019 1.5 gia 369 Triệu - Hà Nội,73000.0
Mercedes Benz C class,2023.0,2150,Đà Nẵng,Ban xe oto cu Mercedes Benz C class 2023 C43 AMG 4Matic gia 2 Tỷ 150 Triệu - Đà Nẵng,7000.0
Toyota Vios,2021.0,393,Hà Nội,Ban xe oto cu Toyota Vios 2021 1.5G CVT gia 393 Triệu - Hà Nội,68000.0
VinFast Limo Green,2025.0,749,Hà Nội,Ban xe oto VinFast Limo Green 2025 AT gia 749 Triệu - Hà Nội,
Honda CRV,2025.0,1063,TP HCM,Ban xe oto cu Honda CRV 2025 L gia 1 Tỷ 63 Triệu - TP HCM,2700.0
Mercedes Benz GLC,2025.0,2599,Hà Nội,Ban xe oto Mercedes Benz GLC 2025 300 4Matic gia 2 Tỷ 599 Triệu - Hà Nội,
VinFast VF3,2025.0,278,TP HCM,Ban xe oto VinFast VF3 2025 Plus gia 278 Triệu - TP HCM,
VinFast VF3,2025.0,245,Hà Nội,Ban xe oto VinFast VF3 2025 Plus gia 245 Triệu - Hà Nội,
Honda City,2023.0,419,Hà Nội,Ban xe oto cu Honda City 2023 G 1.5 AT gia 419 Triệu - Hà Nội,89000.0
Mazda 2,2018.0,356,Hà Nội,Ban xe oto cu Mazda 2 2018 Premium gia 356 Triệu - Hà Nội,73000.0
LandRover Range Rover Evoque,2022.0,1998,Hà Nội,Ban xe oto cu LandRover Range Rover Evoque 2022 SE gia 1 Tỷ 998 Triệu - Hà Nội,9000.0
Toyota Veloz,2026.0,545,Hà Nội,Ban xe oto Toyota Veloz 2026 Cross Top 1.5 CVT gia 545 Triệu - Hà Nội,
Kia Sedona,2018.0,685,Hà Nội,Ban xe oto cu Kia Sedona 2018 Platinum D gia 685 Triệu - Hà Nội,98000.0
Hyundai SantaFe,2017.0,635,Hà Nội,Ban xe oto cu Hyundai SantaFe 2017 2.2L 4WD gia 635 Triệu - Hà Nội,100000.0
Hyundai Tucson,2015.0,419,Hà Nội,Ban xe oto cu Hyundai Tucson 2015 2.0 AT gia 419 Triệu - Hà Nội,130000.0
Volvo XC60,2022.0,2199,Hà Nội,Ban xe oto cu Volvo XC60 2022 Recharge T8 AWD gia 2 Tỷ 199 Triệu - Hà Nội,30000.0
Honda City,2019.0,386,Hà Nội,Ban xe oto cu Honda City 2019 1.5TOP gia 386 Triệu - Hà Nội,69000.0
Mazda CX5,2015.0,435,TP HCM,Ban xe oto cu Mazda CX5 2015 2.0 AT gia 435 Triệu - TP HCM,50000.0
Peugeot 5008,2020.0,675,Hà Nội,Ban xe oto cu Peugeot 5008 2020 Allure 1.6 AT gia 675 Triệu - Hà Nội,64500.0
Hyundai Palisade,2025.0,1464,Hà Nội,Ban xe oto Hyundai Palisade 2025 Prestige 2.2 AT HTRAC gia 1 Tỷ 464 Triệu - Hà Nội,
Mercedes Benz GLC,2022.0,1639,Hà Nội,Ban xe oto cu Mercedes Benz GLC 2022 300 4Matic gia 1 Tỷ 639 Triệu - Hà Nội,53000.0
Hyundai SantaFe,2019.0,795,Hà Nội,Ban xe oto cu Hyundai SantaFe 2019 2.2L HTRAC gia 795 Triệu - Hà Nội,630000.0
Ford Everest,2011.0,175,Tiền Giang,Ban xe oto cu Ford Everest 2011 2.6L 4x4 MT gia 175 Triệu - Tiền Giang,180000.0
Toyota Fortuner,2017.0,665,Ninh Bình,Ban xe oto cu Toyota Fortuner 2017 2.7V 4x2 AT gia 665 Triệu - Ninh Bình,93000.0
Ford Transit,2026.0,949,TP HCM,Ban xe oto Ford Transit 2026 Premium gia 949 Triệu - TP HCM,
Ford EcoSport,2019.0,410,TP HCM,Ban xe oto cu Ford EcoSport 2019 Titanium 1.5L AT gia 410 Triệu - TP HCM,50000.0
Mitsubishi Attrage,2021.0,355,Bắc Ninh,Ban xe oto cu Mitsubishi Attrage 2021 Premium 1.2 CVT gia 355 Triệu - Bắc Ninh,50000.0
Mercedes Benz GLS,2026.0,5399,TP HCM,Ban xe oto Mercedes Benz GLS 2026 450 4Matic gia 5 Tỷ 399 Triệu - TP HCM,
Volkswagen Viloran,2024.0,2099,Hà Nội,Ban xe oto cu Volkswagen Viloran 2024 Luxury gia 2 Tỷ 99 Triệu - Hà Nội,0.0
Mitsubishi Xpander,2022.0,465,Lâm Đồng,Ban xe oto cu Mitsubishi Xpander 2022 Premium 1.5 AT gia 465 Triệu - Lâm Đồng,41000.0
Kia Sedona,2016.0,545,Hà Nội,Ban xe oto cu Kia Sedona 2016 2.2L DATH gia 545 Triệu - Hà Nội,150000.0
Toyota Vios,2017.0,335,Hà Nội,Ban xe oto cu Toyota Vios 2017 1.5G gia 335 Triệu - Hà Nội,150000.0
Hyundai i10,2022.0,355,Hà Nội,Ban xe oto cu Hyundai i10 2022 1.2 AT gia 355 Triệu - Hà Nội,62000.0
Toyota Avanza,2023.0,425,Hòa Bình,Ban xe oto cu Toyota Avanza 2023 Premio 1.5 MT gia 425 Triệu - Hòa Bình,50000.0
Lexus RX,2021.0,3350,Hà Nội,Ban xe oto cu Lexus RX 2021 350L gia 3 Tỷ 350 Triệu - Hà Nội,60000.0
VinFast VF3,2025.0,227,Hà Nội,Ban xe oto cu VinFast VF3 2025 Plus gia 227 Triệu - Hà Nội,12000.0
Ford Ranger,2026.0,707,TP HCM,Ban xe oto Ford Ranger 2026 XLS 2.0L 4x2 AT gia 707 Triệu - TP HCM,
Ford Everest,2026.0,1379,Hà Nội,Ban xe oto Ford Everest 2026 Titanium Plus 2.0L 4x4 AT gia 1 Tỷ 379 Triệu - Hà Nội,
Mercedes Benz GLA class,2022.0,2659,Hà Nội,Ban xe oto cu Mercedes Benz GLA class 2022 GLA 45 S AMG 4Matic gia 2 Tỷ 659 Triệu - Hà Nội,0.0
VinFast VF8,2025.0,910,Hà Nội,Ban xe oto VinFast VF8 2025 Plus AWD gia 910 Triệu - Hà Nội,
Mercedes Benz GLA class,2017.0,899,TP HCM,Ban xe oto cu Mercedes Benz GLA class 2017 GLA 45 AMG 4Matic gia 899 Triệu - TP HCM,56000.0
VinFast VF8,2023.0,769,Bình Dương,Ban xe oto cu VinFast VF8 2023 Eco AWD gia 769 Triệu - Bình Dương,42000.0
Hyundai Accent,2020.0,328,Hà Nội,Ban xe oto cu Hyundai Accent 2020 1.4 MT gia 328 Triệu - Hà Nội,70000.0
Volvo S90,2025.0,1999,Hà Nội,Ban xe oto cu Volvo S90 2025 Ultra B6 AWD gia 1 Tỷ 999 Triệu - Hà Nội,3000.0
Nissan Navara,2018.0,438,TP HCM,Ban xe oto cu Nissan Navara 2018 EL Premium R gia 438 Triệu - TP HCM,81000.0
Kia Carnival,2021.0,1055,TP HCM,Ban xe oto cu Kia Carnival 2021 Signature 2.2D gia 1 Tỷ 55 Triệu - TP HCM,50000.0
Hyundai i10,2024.0,399,Hà Nội,Ban xe oto cu Hyundai i10 2024 1.2 AT gia 399 Triệu - Hà Nội,30000.0
Ford Ranger,2026.0,680,TP HCM,Ban xe oto Ford Ranger 2026 XLS 2.0L 4x2 AT gia 680 Triệu - TP HCM,
Ford Everest,2023.0,1170,Hà Nội,Ban xe oto cu Ford Everest 2023 Titanium 2.0L 4x2 AT gia 1 Tỷ 170 Triệu - Hà Nội,58000.0
Mini Cooper,2025.0,2129,Hà Nội,Ban xe oto Mini Cooper 2025 S 5 Door gia 2 Tỷ 129 Triệu - Hà Nội,
Lexus RX,2018.0,2699,TP HCM,Ban xe oto cu Lexus RX 2018 350L gia 2 Tỷ 699 Triệu - TP HCM,70000.0
Lexus GX,2026.0,6400,Hà Nội,Ban xe oto Lexus GX 2026 550 Luxury gia 6 Tỷ 400 Triệu - Hà Nội,60000.0
Mercedes Benz C class,2019.0,949,TP HCM,Ban xe oto cu Mercedes Benz C class 2019 C300 AMG gia 949 Triệu - TP HCM,66000.0
Ford Everest,2026.0,1120,Hà Nội,Ban xe oto Ford Everest 2026 Sport 2.0L 4x2 AT gia 1 Tỷ 120 Triệu - Hà Nội,
Mercedes Benz C class,2025.0,1545,TP HCM,Ban xe oto cu Mercedes Benz C class 2025 C200 Avantgarde gia 1 Tỷ 545 Triệu - TP HCM,0.0
Lexus LM,2026.0,8950,TP HCM,Ban xe oto Lexus LM 2026 500h gia 8 Tỷ 950 Triệu - TP HCM,
Ford Everest,2021.0,835,TP HCM,Ban xe oto cu Ford Everest 2021 Titanium 2.0L 4x2 AT gia 835 Triệu - TP HCM,0.0
Lexus NX,2018.0,1550,Hà Nội,Ban xe oto cu Lexus NX 2018 300 gia 1 Tỷ 550 Triệu - Hà Nội,120000.0
Hyundai Palisade,2025.0,1480,Hà Nội,Ban xe oto cu Hyundai Palisade 2025 Prestige 2.2 AT HTRAC gia 1 Tỷ 480 Triệu - Hà Nội,9000.0
Mazda CX5,2025.0,850,Bình Dương,Ban xe oto cu Mazda CX5 2025 Premium 2.0 AT gia 850 Triệu - Bình Dương,3300.0
Ford Territory,2025.0,825,TP HCM,Ban xe oto cu Ford Territory 2025 Titanium X 1.5 AT gia 825 Triệu - TP HCM,18000.0
Ford Mustang,2015.0,1450,TP HCM,Ban xe oto cu Ford Mustang 2015 EcoBoost gia 1 Tỷ 450 Triệu - TP HCM,
Volvo S90,2022.0,1500,TP HCM,Ban xe oto cu Volvo S90 2022 Inscription LWB B6 AWD gia 1 Tỷ 500 Triệu - TP HCM,43000.0
Kia Seltos,2022.0,629,Hải Phòng,Ban xe oto cu Kia Seltos 2022 Premium 1.6 AT gia 629 Triệu - Hải Phòng,
Kia Sportage,2023.0,869,Hà Nội,Ban xe oto cu Kia Sportage 2023 Signature X-Line 2.0G gia 869 Triệu - Hà Nội,31000.0
Hyundai Accent,2022.0,429,Hà Nội,Ban xe oto cu Hyundai Accent 2022 1.4 AT gia 429 Triệu - Hà Nội,52000.0
Hyundai Custin,2024.0,885,Hà Nội,Ban xe oto cu Hyundai Custin 2024 Cao Cấp 2.0T gia 885 Triệu - Hà Nội,30000.0
Kia K3,2021.0,539,Hà Nội,Ban xe oto cu Kia K3 2021 Premium 1.6 AT gia 539 Triệu - Hà Nội,71000.0
VinFast VF8,2024.0,980,Phú Thọ,Ban xe oto cu VinFast VF8 2024 Plus AWD gia 980 Triệu - Phú Thọ,3000.0
Lexus RX,2019.0,2600,Hà Nội,Ban xe oto cu Lexus RX 2019 350 gia 2 Tỷ 600 Triệu - Hà Nội,90000.0
VinFast VF8,2023.0,815,Vĩnh Phúc,Ban xe oto cu VinFast VF8 2023 Plus AWD gia 815 Triệu - Vĩnh Phúc,56000.0
Jaguar XF,2016.0,799,TP HCM,Ban xe oto cu Jaguar XF 2016 2.0 AT gia 799 Triệu - TP HCM,64000.0
Ford Everest,2016.0,645,Hà Nội,Ban xe oto cu Ford Everest 2016 Titanium 2.2L 4x2 AT gia 645 Triệu - Hà Nội,100000.0
Lexus RX,2022.0,2890,Hà Nội,Ban xe oto cu Lexus RX 2022 300 F Sport gia 2 Tỷ 890 Triệu - Hà Nội,38000.0
VinFast VF5,2026.0,430,Hà Nội,Ban xe oto VinFast VF5 2026 Plus gia 430 Triệu - Hà Nội,
Lexus RX,2025.0,3550,Hà Nội,Ban xe oto cu Lexus RX 2025 350h Premium gia 3 Tỷ 550 Triệu - Hà Nội,11000.0
Honda HRV,2026.0,700,Hà Nội,Ban xe oto Honda HRV 2026 L gia 700 Triệu - Hà Nội,
Mitsubishi Xpander,2020.0,415,Hà Nội,Ban xe oto cu Mitsubishi Xpander 2020 1.5 AT gia 415 Triệu - Hà Nội,100000.0
Ford Ranger,2023.0,615,Hà Nội,Ban xe oto cu Ford Ranger 2023 XLS 2.0L 4x2 AT gia 615 Triệu - Hà Nội,65000.0
Toyota Raize,2023.0,423,TP HCM,Ban xe oto cu Toyota Raize 2023 G 1.0 CVT gia 423 Triệu - TP HCM,94000.0
Toyota Innova,2018.0,506,TP HCM,Ban xe oto cu Toyota Innova 2018 2.0 Venturer gia 506 Triệu - TP HCM,46000.0
Mazda CX5,2018.0,570,Đà Nẵng,Ban xe oto cu Mazda CX5 2018 2.5 AT 2WD gia 570 Triệu - Đà Nẵng,70000.0
Toyota Land Cruiser,2024.0,5499,Hà Nội,Ban xe oto cu Toyota Land Cruiser 2024 3.5 V6 gia 5 Tỷ 499 Triệu - Hà Nội,19000.0
Toyota Prado,2004.0,395,Hà Nội,Ban xe oto cu Toyota Prado 2004 VX 4.0 AT gia 395 Triệu - Hà Nội,
Toyota Innova,2026.0,725,Hà Nội,Ban xe oto Toyota Innova 2026 Cross 2.0G CVT gia 725 Triệu - Hà Nội,
Baic Beijing X7,2022.0,500,Hà Nội,Ban xe oto cu Baic Beijing X7 2022 Premium 1.5 AT gia 500 Triệu - Hà Nội,75000.0
Kia Sorento,2018.0,480,Bình Dương,Ban xe oto cu Kia Sorento 2018 GAT gia 480 Triệu - Bình Dương,43000.0
VinFast Limo Green,2026.0,659,Hà Nội,Ban xe oto VinFast Limo Green 2026 AT gia 659 Triệu - Hà Nội,
Lexus LX,2019.0,6190,Hà Nội,Ban xe oto cu Lexus LX 2019 570 gia 6 Tỷ 190 Triệu - Hà Nội,120000.0
Toyota Camry,2021.0,925,Hà Nội,Ban xe oto cu Toyota Camry 2021 2.5Q gia 925 Triệu - Hà Nội,40000.0
VinFast Limo Green,2026.0,659,Hà Nội,Ban xe oto VinFast Limo Green 2026 AT gia 659 Triệu - Hà Nội,
Mazda 6,2023.0,699,Hà Nội,Ban xe oto cu Mazda 6 2023 Signature Premium 2.5 AT gia 699 Triệu - Hà Nội,39999.0
Volkswagen Viloran,2024.0,2099,Hà Nội,Ban xe oto cu Volkswagen Viloran 2024 Luxury gia 2 Tỷ 99 Triệu - Hà Nội,16000.0
Ford Everest,2020.0,825,Hà Nội,Ban xe oto cu Ford Everest 2020 Titanium 2.0L 4x2 AT gia 825 Triệu - Hà Nội,60000.0
LandRover Range Rover,2014.0,1850,Hà Nội,Ban xe oto cu LandRover Range Rover 2014 HSE 3.0 gia 1 Tỷ 850 Triệu - Hà Nội,90000.0
Kia Seltos,2023.0,599,Hà Nội,Ban xe oto cu Kia Seltos 2023 Luxury 1.4 AT gia 599 Triệu - Hà Nội,31000.0
VinFast Lux A 2.0,2022.0,575,Hà Nội,Ban xe oto cu VinFast Lux A 2.0 2022 Nâng cao gia 575 Triệu - Hà Nội,44000.0
Isuzu MU-X,2019.0,645,Đăk Lăk,Ban xe oto cu Isuzu MU-X 2019 1.9 4X2 AT gia 645 Triệu - Đăk Lăk,67000.0
Mercedes Benz C class,2019.0,829,Hà Nội,Ban xe oto cu Mercedes Benz C class 2019 C200 Exclusive gia 829 Triệu - Hà Nội,60000.0
Toyota Yaris,2024.0,635,TP HCM,Ban xe oto cu Toyota Yaris 2024 G 1.5 AT gia 635 Triệu - TP HCM,12000.0
Hyundai Tucson,2026.0,820,Hà Nội,Ban xe oto Hyundai Tucson 2026 2.0 AT Đặc biệt gia 820 Triệu - Hà Nội,
VinFast VF6,2025.0,620,TP HCM,Ban xe oto VinFast VF6 2025 Eco gia 620 Triệu - TP HCM,
Mitsubishi Attrage,2024.0,310,TP HCM,Ban xe oto cu Mitsubishi Attrage 2024 1.2 MT gia 310 Triệu - TP HCM,43000.0
Nissan Almera,2024.0,475,Hà Nội,Ban xe oto cu Nissan Almera 2024 V 1.0 CVT gia 475 Triệu - Hà Nội,10000.0
Hyundai Accent,2024.0,500,TP HCM,Ban xe oto cu Hyundai Accent 2024 Cao cấp 1.5 AT gia 500 Triệu - TP HCM,15000.0
Mercedes Benz GLS,2020.0,3690,Hà Nội,Ban xe oto cu Mercedes Benz GLS 2020 450 4Matic gia 3 Tỷ 690 Triệu - Hà Nội,5000.0
Hyundai Venue,2024.0,499,Hà Nội,Ban xe oto cu Hyundai Venue 2024 1.0 T-GDi Đặc Biệt gia 499 Triệu - Hà Nội,39000.0
Ford Ranger,2019.0,675,TP HCM,Ban xe oto cu Ford Ranger 2019 Wildtrak 2.0L 4x4 AT gia 675 Triệu - TP HCM,11000.0
Hyundai Accent,2024.0,450,Hà Nội,Ban xe oto cu Hyundai Accent 2024 1.5 AT gia 450 Triệu - Hà Nội,30000.0
VinFast Limo Green,2026.0,659,Hà Nội,Ban xe oto VinFast Limo Green 2026 AT gia 659 Triệu - Hà Nội,
VinFast VF MPV 7,2026.0,729,Hà Nội,Ban xe oto VinFast VF MPV 7 2026 AT gia 729 Triệu - Hà Nội,
Hyundai Accent,2025.0,499,Hà Nội,Ban xe oto Hyundai Accent 2025 Đặc biệt 1.5 AT gia 499 Triệu - Hà Nội,
VinFast VF5,2026.0,447,Hà Nội,Ban xe oto VinFast VF5 2026 Plus gia 447 Triệu - Hà Nội,
Toyota Innova,2012.0,335,TP HCM,Ban xe oto cu Toyota Innova 2012 2.0G gia 335 Triệu - TP HCM,84000.0
Kia Carnival,2022.0,1040,Hà Nội,Ban xe oto cu Kia Carnival 2022 Premium 2.2D gia 1 Tỷ 40 Triệu - Hà Nội,80000.0
Volkswagen Teramont,2025.0,2488,TP HCM,Ban xe oto Volkswagen Teramont 2025 President 2.0 AT gia 2 Tỷ 488 Triệu - TP HCM,
VinFast VF6,2026.0,606,Hà Nội,Ban xe oto VinFast VF6 2026 Eco gia 606 Triệu - Hà Nội,
